企业名称,电话
北京森鑫淼果林医院,69323335
北京市斜巴地庭园苗圃,13683512702
北京昊天坤园林绿化服务中心,13501053626
北京神农亚博苗木有限公司,
北京北林林业发展有限公司,13716029609
北京建国伟业生态种植中心,13701318851
北京鑫宇绿洲园林绿化工程公司,15901397815
北京市长沟振成苗圃园,13521232742
北京昊瀚绿洲园林绿化工程有限公司,
北京金元佳禾园林绿化工程有限公司,13716667358
北京弘源源苗圃,13671395596
北京景尚春苗木种植中心,15699888792
北京周口店三木苗圃场,18910751801
北京辛庄隆盛兴果园,
北京建承嘉益商贸有限公司,61387198/13522904940
北京大石窝永兴苗圃场,61321914
北京大石窝生辉种植园,18519584158/61322310
北京王立顺苗圃种植中心,13651340496
北京廷辉顺发种植园,17710252449
北京金汇圃种植园,13716176531
北京森茂种植有限公司,13321186795
北京翠林花海农产品专业合作社,13716637427
北京窦店文彧菱竹种植中心,80319086/13901286477
北京国电中兴农业发展有限公司,13811872680
北京康乐种植基地,13801092740
北京市交道绿海苗圃场,18701215983
北京市交道绿海苗圃场,18701215983
北京梅氏园林绿化有限公司,13911909987
北京绿禾兴隆农业发展有限公司,13552008199
北京千业苗圃,61316972/18910491606
北京盛圃成杏李专业合作社,13501072675
北京韩村河凯林林苗木种植中心,61311096/13716122864
北京金冠果业有限公司,13681204045
北京圣水绿洲农林生态园,13661017088
北京艺柏苗木种植中心,13301258322
北京华贺苗木种植有限公司,13161276800
北京智鸿园林绿化工程有限公司,13911771307
北京茂林绿洲苗木种植有限公司,13811425288
北京市北章建华苗圃场,80301839/13691586551
北京市普生栎园金银花种植专业合作社,13910135408
北京市长阳果园有限公司,60352489/13901050531
北京怡顺达园林绿化工程有限公司,13552881949
北京石楼新绿苗木种植中心,13511023999
北京汇琦种植中心,13911041113
北京城关五木苗木种植中心,13511016842
北京中山绿海源种植专业合作社,15110056540
北京绿野彩枫苗木种植中心,13716131518
北京芳香谷农业观光园有限公司,
北京绿绮花卉专业合作社,13801206789
北京轩城景逸园林绿化有限公司,13716645113
北京京林园林绿化工程有限公司,
北京良乡天意合佳苗木种植有限公司,13911754878
北京泛雅博艺苗木种植中心,
北京鑫汇天正园艺有限公司,
北京佳苑益民养殖中心,15901137574
北京溢彩茂源种植有限公司,
北京嘉程苗木种植中心,
北京源禄枫种植中心,13911517130
北京茂林盛园种植基地,
北京横富园林绿化有限责任公司,13691551033
北京隆达世纪商贸有限责任公司,
北京金顺绿都生态种植有限公司,13901372647
北京德泓霆消防器材销售有限公司,
北京明夺旺苗圃种植基地,13910803534
北京复兴良种繁育中心,89319403
北京市南梨园园林绿化有限公司,89319403
北京绿林盛源园林绿化工程有限公司,13521093450
北京碧源兴物资有限公司,13426305267
北京市绿视野园林种植中心,17301041124
北京碧水源生态环境科技有限公司,18701601590
北京祺祥永业园林工程有限公司,13601201114